Pool Size,Nb Threads,Execution Time (ms)
0,0,0
2,2,0
2,4,0
2,6,1
2,8,1
2,10,1
2,12,1
2,14,2
2,16,2
2,18,1
2,20,3
2,22,2
2,24,2
2,26,2
2,30,2
2,35,3
2,40,4
2,50,3
2,60,4
4,2,0
4,4,0
4,6,0
4,8,1
4,10,0
4,12,1
4,14,2
4,16,1
4,18,1
4,20,2
4,22,2
4,24,3
4,26,2
4,30,2
4,35,3
4,40,2
4,50,3
4,60,6
8,2,0
8,4,0
8,6,1
8,8,0
8,10,0
8,12,1
8,14,1
8,16,1
8,18,1
8,20,1
8,22,2
8,24,1
8,26,3
8,30,3
8,35,2
8,40,4
8,50,3
8,60,7
16,2,0
16,4,0
16,6,0
16,8,1
16,10,0
16,12,0
16,14,1
16,16,1
16,18,1
16,20,2
16,22,1
16,24,3
16,26,2
16,30,3
16,35,3
16,40,4
16,50,5
16,60,3
32,2,0
32,4,0
32,6,0
32,8,0
32,10,0
32,12,0
32,14,1
32,16,1
32,18,2
32,20,1
32,22,1
32,24,2
32,26,3
32,30,2
32,35,3
32,40,3
32,50,4
32,60,4
64,2,0
64,4,0
64,6,0
64,8,0
64,10,0
64,12,1
64,14,1
64,16,1
64,18,1
64,20,1
64,22,2
64,24,2
64,26,1
64,30,1
64,35,2
64,40,3
64,50,3
64,60,2
128,2,0
128,4,0
128,6,1
128,8,0
128,10,0
128,12,1
128,14,0
128,16,1
128,18,1
128,20,2
128,22,1
128,24,1
128,26,1
128,30,1
128,35,3
128,40,2
128,50,3
128,60,4
254,2,0
254,4,0
254,6,0
254,8,0
254,10,0
254,12,0
254,14,0
254,16,1
254,18,1
254,20,1
254,22,1
254,24,1
254,26,2
254,30,2
254,35,3
254,40,2
254,50,3
254,60,5
512,2,0
512,4,0
512,6,0
512,8,0
512,10,0
512,12,1
512,14,1
512,16,1
512,18,1
512,20,2
512,22,1
512,24,2
512,26,2
512,30,1
512,35,2
512,40,2
512,50,2
512,60,6
1024,2,0
1024,4,0
1024,6,0
1024,8,0
1024,10,0
1024,12,0
1024,14,1
1024,16,1
1024,18,1
1024,20,1
1024,22,1
1024,24,1
1024,26,1
1024,30,1
1024,35,2
1024,40,2
1024,50,4
1024,60,3
2048,2,0
2048,4,0
2048,6,0
2048,8,0
2048,10,0
2048,12,0
2048,14,0
2048,16,0
2048,18,0
2048,20,1
2048,22,1
2048,24,2
2048,26,1
2048,30,1
2048,35,3
2048,40,1
2048,50,4
2048,60,4
4096,2,0
4096,4,0
4096,6,0
4096,8,0
4096,10,0
4096,12,1
4096,14,1
4096,16,0
4096,18,1
4096,20,1
4096,22,1
4096,24,1
4096,26,1
4096,30,2
4096,35,2
4096,40,3
4096,50,5
4096,60,4
20000000,2,75
20000000,4,64
20000000,6,66
20000000,8,69
20000000,10,65
20000000,12,64
20000000,14,66
20000000,16,67
20000000,18,66
20000000,20,72
20000000,22,74
20000000,24,69
20000000,26,70
20000000,30,70
20000000,35,67
20000000,40,70
20000000,50,72
20000000,60,74
