Pool Size,Nb Threads,Execution Time (ms)
400,60,144
1600,18,142
4000,16,133
6000,60,129
800,35,125
10000,30,129
1200,18,128
10,10,179
100,12,155
6000,20,130
10000,20,122
2000,12,137
2000,4,216
400,26,126
3000,12,148
6000,50,128
800,16,133
4000,50,130
2500,8,171
8000,6,168
100,18,135
10,22,146
2000,10,177
400,35,126
100,14,142
2500,20,126
3000,14,141
5000,40,130
1000,50,139
5000,26,125
400,6,185
200,60,173
1000,30,136
10,30,198
2500,30,140
3000,16,137
50,10,173
2000,18,126
200,8,172
800,10,159
100,8,182
2500,35,126
100,16,143
4000,4,212
6000,14,136
200,18,135
8000,26,124
4000,22,129
4000,12,141
6000,8,166
5000,30,124
1000,14,139
10,14,140
5000,4,218
1200,20,128
400,8,178
1000,16,135
2000,30,128
8000,24,124
6000,18,130
10,20,167
10,6,174
50,6,184
2000,50,131
800,4,218
200,50,150
6000,10,157
1200,6,196
4000,2,344
1200,8,164
5000,35,124
2000,40,121
1000,8,158
200,20,125
800,26,122
6000,40,119
8000,60,122
1600,40,123
2000,8,150
5000,22,119
2500,18,124
2000,24,122
200,4,209
6000,2,277
5000,14,122
800,14,131
10000,60,120
100,35,142
1600,24,118
200,6,163
2000,20,117
1600,20,125
200,40,133
200,22,129
6000,35,116
3000,2,302
10,8,145
1600,35,126
800,20,118
400,24,124
10,16,127
3000,40,124
5000,18,119
50,50,158
2000,6,155
1000,4,201
200,35,135
5000,6,161
1200,50,121
8000,10,134
200,10,136
800,2,312
5000,20,120
50,24,134
6000,12,129
200,24,128
400,50,131
4000,40,120
1200,22,121
10,12,134
1600,26,120
1600,16,129
100,24,131
10000,18,120
1200,10,137
8000,12,133
3000,10,139
4000,35,122
50,16,125
400,30,122
50,20,125
2000,26,120
8000,8,138
800,50,127
50,30,138
1200,16,137
10000,14,121
2500,26,124
8000,50,120
5000,8,153
1000,60,131
1000,20,124
800,24,118
2500,22,122
5000,2,305
800,12,131
8000,22,120
100,6,156
100,40,142
50,22,127
200,16,127
100,4,195
6000,24,122
1600,22,119
3000,8,151
1600,6,159
4000,24,122
6000,6,150
2000,35,125
2000,14,122
10000,22,121
1600,14,122
10,4,196
400,20,118
1000,40,126
6000,22,117
50,14,134
8000,16,128
2500,2,301
800,60,127
5000,16,126
3000,4,193
400,18,125
100,2,302
50,35,142
100,22,129
400,2,296
8000,20,116
50,2,323
100,30,134
10000,40,122
1200,35,122
10000,35,121
3000,35,120
1000,2,297
5000,10,132
1200,26,127
10000,16,117
2000,22,123
2500,16,128
400,14,131
1600,12,127
10,24,141
1600,2,306
3000,6,158
10000,2,291
400,16,121
5000,50,125
5000,60,122
2500,40,123
50,12,134
50,4,205
1600,30,120
200,26,130
4000,10,140
1200,30,122
200,30,129
4000,8,147
5000,12,130
8000,4,187
10,50,187
3000,24,123
10,35,164
1200,24,122
2500,14,124
3000,50,122
1200,4,198
100,50,157
1000,6,147
2500,10,143
400,4,194
400,12,137
8000,35,118
1600,60,125
5000,24,118
8000,18,122
2500,50,120
800,18,125
400,22,119
2500,24,124
800,40,121
3000,22,124
2000,16,121
4000,30,121
1600,4,193
3000,18,124
50,40,147
10,60,210
6000,30,116
2500,6,157
3000,30,117
8000,30,122
1200,60,119
4000,18,124
6000,26,118
10000,50,125
1000,22,117
4000,14,127
50,26,130
8000,40,124
200,12,131
1200,40,125
100,60,164
2500,4,202
1200,2,303
200,2,323
200,14,125
2500,12,141
4000,60,120
1600,50,123
10000,6,142
400,10,143
1000,18,120
3000,60,126
100,10,138
50,8,152
10,18,121
50,18,127
10,2,311
800,8,151
1600,8,152
100,20,124
1000,12,135
6000,16,121
1000,24,124
50,60,171
1600,10,142
10000,24,117
10000,26,122
1000,35,118
1200,14,126
8000,14,120
4000,26,122
800,6,154
3000,26,126
10,40,165
1200,12,135
800,22,117
1000,26,121
2000,2,308
2500,60,119
6000,4,198
4000,20,118
2000,60,124
100,26,131
800,30,124
10000,12,124
10000,8,147
4000,6,156
400,40,126
1000,10,131
8000,2,279
3000,20,120
10000,4,182
10,26,148
10000,10,138
