Pool Size,Nb Threads,Execution Time (ms)
10,2,5250
10,4,3139
10,6,2076
10,8,1948
10,10,1857
10,12,1896
10,14,2361
10,16,3266
10,18,6638
10,20,6499
10,22,6129
10,24,6337
10,26,6703
10,30,7558
10,35,8528
10,40,9458
10,50,11207
10,60,13220
50,2,5216
50,4,3059
50,6,2146
50,8,1992
50,10,1856
50,12,1719
50,14,1601
50,16,1550
50,18,1499
50,20,1603
50,22,1935
50,24,2469
50,26,2935
50,30,3827
50,35,4689
50,40,5311
50,50,6572
50,60,7465
100,2,5267
100,4,3032
100,6,2101
100,8,1912
100,10,1668
100,12,1616
100,14,1621
100,16,1560
100,18,1497
100,20,1579
100,22,1979
100,24,2444
100,26,2953
100,30,3764
100,35,4665
100,40,5192
100,50,6273
100,60,7380
200,2,5224
200,4,3007
200,6,2015
200,8,1818
200,10,1754
200,12,1719
200,14,1667
200,16,1584
200,18,1487
200,20,1559
200,22,1891
200,24,2379
200,26,2876
200,30,3709
200,35,4438
200,40,5127
200,50,5976
200,60,7126
400,2,5320
400,4,3080
400,6,2179
400,8,1798
400,10,1759
400,12,1647
400,14,1599
400,16,1550
400,18,1497
400,20,1541
400,22,1793
400,24,2268
400,26,2711
400,30,3594
400,35,4393
400,40,4938
400,50,5746
400,60,6686
800,2,5257
800,4,3063
800,6,2286
800,8,1762
800,10,1800
800,12,1651
800,14,1596
800,16,1547
800,18,1493
800,20,1499
800,22,1675
800,24,2019
800,26,2413
800,30,3320
800,35,4249
800,40,4755
800,50,5640
800,60,6490
1000,2,5240
1000,4,2983
1000,6,2231
1000,8,2034
1000,10,1825
1000,12,1672
1000,14,1586
1000,16,1547
1000,18,1491
1000,20,1490
1000,22,1644
1000,24,2013
1000,26,2432
1000,30,3272
1000,35,4137
1000,40,4591
1000,50,5413
1000,60,6464
1200,2,5290
1200,4,3105
1200,6,2123
1200,8,1784
1200,10,1720
1200,12,1610
1200,14,1584
1200,16,1538
1200,18,1493
1200,20,1460
1200,22,1599
1200,24,1950
1200,26,2358
1200,30,3105
1200,35,3972
1200,40,4660
1200,50,5387
1200,60,6370
1600,2,5215
1600,4,3154
1600,6,2136
1600,8,1896
1600,10,1692
1600,12,1600
1600,14,1628
1600,16,1571
1600,18,1497
1600,20,1444
1600,22,1563
1600,24,1869
1600,26,2189
1600,30,3028
1600,35,4023
1600,40,4519
1600,50,5253
1600,60,6118
2000,2,5274
2000,4,3121
2000,6,2195
2000,8,1765
2000,10,1655
2000,12,1661
2000,14,1600
2000,16,1571
2000,18,1480
2000,20,1425
2000,22,1568
2000,24,1809
2000,26,2205
2000,30,3150
2000,35,3890
2000,40,4547
2000,50,5327
2000,60,6027
2500,2,5218
2500,4,2979
2500,6,2141
2500,8,1986
2500,10,1734
2500,12,1713
2500,14,1610
2500,16,1566
2500,18,1498
2500,20,1409
2500,22,1463
2500,24,1723
2500,26,2136
2500,30,2914
2500,35,3935
2500,40,4516
2500,50,5166
2500,60,5921
3000,2,5241
3000,4,3080
3000,6,2169
3000,8,1807
3000,10,1701
3000,12,1661
3000,14,1606
3000,16,1555
3000,18,1479
3000,20,1385
3000,22,1407
3000,24,1647
3000,26,2100
3000,30,2894
3000,35,4039
3000,40,4527
3000,50,5181
3000,60,5888
4000,2,5265
4000,4,3033
4000,6,2185
4000,8,1939
4000,10,1728
4000,12,1700
4000,14,1668
4000,16,1544
4000,18,1480
4000,20,1352
4000,22,1339
4000,24,1537
4000,26,1799
4000,30,2713
4000,35,3570
4000,40,4343
4000,50,5196
4000,60,5705
5000,2,5229
5000,4,3012
5000,6,2113
5000,8,1861
5000,10,1695
5000,12,1654
5000,14,1597
5000,16,1529
5000,18,1499
5000,20,1348
5000,22,1343
5000,24,1406
5000,26,1721
5000,30,2458
5000,35,3394
5000,40,3982
5000,50,5108
5000,60,5663
6000,2,5259
6000,4,3022
6000,6,2114
6000,8,1974
6000,10,1730
6000,12,1680
6000,14,1625
6000,16,1576
6000,18,1484
6000,20,1355
6000,22,1316
6000,24,1427
6000,26,1616
6000,30,2563
6000,35,3462
6000,40,3890
6000,50,4867
6000,60,5208
8000,2,5216
8000,4,3100
8000,6,2179
8000,8,1765
8000,10,1703
8000,12,1700
8000,14,1559
8000,16,1551
8000,18,1479
8000,20,1334
8000,22,1306
8000,24,1447
8000,26,1528
8000,30,1959
8000,35,2549
8000,40,3321
8000,50,4549
8000,60,5321
10000,2,5227
10000,4,3109
10000,6,2163
10000,8,2000
10000,10,1787
10000,12,1737
10000,14,1585
10000,16,1536
10000,18,1501
10000,20,1345
10000,22,1287
10000,24,1300
10000,26,1368
10000,30,2041
10000,35,2458
10000,40,3809
10000,50,4550
10000,60,5189
